Measurement File created on Wed Jan  5 15:07:24 2022

Time,Temperature,TargetPWM
0.4520,102.18,17.00
0.9030,102.07,17.00
1.3520,102.18,17.00
1.8070,102.02,17.00
2.2560,102.07,17.00
2.7060,102.02,17.00
3.1560,102.07,17.00
3.6040,102.07,17.00
4.0530,102.13,17.00
4.5020,102.13,17.00
4.9520,102.18,17.00
5.4020,102.13,17.00
5.8580,102.13,17.00
6.3070,102.07,17.00
6.7560,102.18,17.00
7.2050,102.07,17.00
7.6540,102.18,17.00
8.1040,102.13,17.00
8.5530,102.24,17.00
9.0090,102.07,17.00
9.4530,102.02,17.00
9.9080,102.07,17.00
10.3570,102.18,17.00
10.8060,102.07,17.00
11.2550,102.18,17.00
11.7050,102.13,17.00
12.1540,102.18,17.00
12.6030,102.07,17.00
13.0520,102.07,17.00
13.5030,102.02,17.00
13.9520,101.96,17.00
14.4070,102.02,17.00
14.8580,102.18,17.00
15.3060,102.07,17.00
15.7560,102.13,17.00
16.2040,102.07,17.00
16.6530,102.02,17.00
17.1020,102.02,17.00
17.5520,102.02,17.00
18.0030,102.07,17.00
18.4580,102.18,17.00
18.9070,102.07,17.00
19.3560,102.18,17.00
19.8050,102.07,17.00
20.2540,102.02,17.00
20.7040,102.02,17.00
21.1530,102.07,17.00
21.6020,102.13,17.00
22.0530,102.07,17.00
22.5080,102.07,17.00
22.9570,102.13,17.00
23.4060,102.02,17.00
23.8570,102.07,17.00
24.3050,102.02,17.00
24.7540,102.02,17.00
25.2030,102.13,17.00
25.6520,102.02,17.00
26.2170,102.13,17.00
26.5520,102.02,17.00
27.0070,102.02,17.00
27.4570,102.02,17.00
27.9060,102.02,17.00
28.4710,102.02,17.00
28.8040,102.07,17.00
29.2530,102.02,17.00
29.7030,102.13,17.00
30.1520,102.07,17.00
30.6030,102.18,17.00
31.0590,102.02,17.00
31.5070,102.02,17.00
31.9560,102.02,17.00
32.4060,102.07,17.00
32.8540,102.02,17.00
33.3040,102.13,17.00
33.7530,102.02,17.00
34.2020,102.13,17.00
34.6520,102.07,17.00
35.1020,102.18,17.00
35.5570,102.02,17.00
36.0060,102.02,17.00
36.4560,102.02,17.00
36.9060,102.07,17.00
37.3540,102.02,17.00
37.8030,102.07,17.00
38.3670,102.02,17.00
38.7030,102.13,17.00
39.1520,102.07,17.00
39.6080,102.02,17.00
40.0570,102.02,17.00
40.5060,102.07,17.00
40.9550,102.02,17.00
41.4040,102.13,17.00
41.8530,102.02,17.00
42.3030,102.13,17.00
42.7520,102.02,17.00
43.2020,102.13,17.00
43.6580,101.96,17.00
44.1070,102.07,17.00
44.5560,102.02,17.00
45.0050,102.18,17.00
45.4550,102.02,17.00
45.9040,102.13,17.00
46.3530,102.02,17.00
46.8020,102.18,17.00
47.2520,102.02,17.00
47.7020,102.02,17.00
48.1570,101.96,17.00
48.6070,102.07,17.00
49.0560,102.02,17.00
49.5060,102.13,17.00
49.9540,102.02,17.00
50.4030,102.13,17.00
50.8520,102.07,17.00
51.3030,102.02,17.00
51.7520,102.02,17.00
52.2080,102.13,17.00
52.6570,102.02,17.00
53.1060,102.07,17.00
53.5550,102.07,17.00
54.0050,102.13,17.00
54.4540,102.07,17.00
54.9030,102.07,17.00
55.3520,102.02,17.00
55.8030,102.02,17.00
56.2580,102.02,17.00
56.7070,102.13,17.00
57.1560,102.02,17.00
57.6050,102.13,17.00
58.0550,102.07,17.00
