,Time,Temperature,TargetPWM,TempSmoothed,TimeShifted,EndValue,63pctEndValue,TempAllSmoothed,TempMean4,TempMean8
0,0.0,19.5,0.0,19.501017963898033,0.0,103.5,65.205,19.501017947563934,19.5,19.5
1,0.457,19.5,17.0,19.501017963898033,0.457,103.5,65.205,19.501017947563934,19.5,19.5
2,0.905,19.42,17.0,19.499652100904306,0.905,103.5,65.205,19.49965208517721,19.48,19.490000000000002
3,1.354,19.46,17.0,19.498604714677967,1.354,103.5,65.205,19.498604700242893,19.47,19.485
4,1.803,19.46,17.0,19.498246900054664,1.803,103.5,65.205,19.49824688761934,19.46,19.48
5,2.252,19.42,17.0,19.49889955518704,2.252,103.5,65.205,19.49889954544979,19.44,19.47
6,2.702,19.42,17.0,19.50081183791271,2.702,103.5,65.205,19.50081183153161,19.44,19.46
7,3.152,19.54,17.0,19.504145832341447,3.152,103.5,65.205,19.504145829903802,19.46,19.465
8,3.608,19.59,17.0,19.508968541072537,3.608,103.5,65.205,19.508968543063677,19.4925,19.47625
9,4.057,19.5,17.0,19.515251639881487,4.057,103.5,65.205,19.515251646652448,19.5125,19.47625
10,4.506,19.59,17.0,19.522878733101912,4.506,103.5,65.205,19.522878744837037,19.555,19.497500000000002
11,4.955,19.5,17.0,19.53165919644876,4.955,103.5,65.205,19.53165921313597,19.545,19.5025
12,5.404,19.59,17.0,19.54134714993413,5.404,103.5,65.205,19.541347171341815,19.545,19.51875
13,5.854,19.59,17.0,19.551663714251028,5.854,103.5,65.205,19.551663739915547,19.567500000000003,19.540000000000003
14,6.303,19.54,17.0,19.56232049989059,6.303,103.5,65.205,19.56232052911774,19.555,19.555
15,6.753,19.59,17.0,19.573042270314065,6.753,103.5,65.205,19.573042302196857,19.5775,19.56125
16,7.202,19.54,17.0,19.583586900248662,7.202,103.5,65.205,19.58358693370255,19.564999999999998,19.555
17,7.652,19.59,17.0,19.593761091549176,7.652,103.5,65.205,19.59376112536456,19.564999999999998,19.56625
18,8.107,19.63,17.0,19.603430771955086,8.107,103.5,65.205,19.603430804865123,19.5875,19.57125
19,8.556,19.5,17.0,19.612525637046108,8.556,103.5,65.205,19.612525667806498,19.564999999999998,19.57125
20,9.006,19.67,17.0,19.62103784933626,9.006,103.5,65.205,19.621037876812153,19.5975,19.581249999999997
21,9.455,19.63,17.0,19.629015428673544,9.455,103.5,65.205,19.629015451927078,19.607499999999998,19.58625
22,9.904,19.67,17.0,19.63655130904014,9.904,103.5,65.205,19.636551327410654,19.6175,19.6025
23,10.353,19.59,17.0,19.643769362673847,10.353,103.5,65.205,19.643769375841966,19.64,19.6025
24,10.803,19.71,17.0,19.650808880120852,10.803,103.5,65.205,19.650808888148052,19.65,19.62375
25,11.252,19.67,17.0,19.657809035428887,11.252,103.5,65.205,19.65780903876588,19.660000000000004,19.63375
26,11.702,19.67,17.0,19.66489476425921,11.702,103.5,65.205,19.664894763719595,19.66,19.63875
27,12.158,19.63,17.0,19.672165256983845,12.158,103.5,65.205,19.672165253683175,19.67,19.655
28,12.607,19.71,17.0,19.6796859468926,12.607,103.5,65.205,19.679685942156834,19.67,19.66
29,13.057,19.63,17.0,19.68748449066328,13.057,103.5,65.205,19.68748448591427,19.66,19.660000000000004
30,13.505,19.71,17.0,19.695550832993323,13.505,103.5,65.205,19.695550829621997,19.67,19.665
31,14.071,19.67,17.0,19.703841058324983,14.071,103.5,65.205,19.7038410575649,19.68,19.675
32,14.404,19.75,17.0,19.712284394824987,14.404,103.5,65.205,19.712284397639447,19.69,19.68
33,14.853,19.71,17.0,19.72079247745852,14.853,103.5,65.205,19.720792484452847,19.71,19.685000000000002
34,15.302,19.79,17.0,19.729269817503067,15.302,103.5,65.205,19.729269828870443,19.73,19.700000000000003
35,15.752,19.75,17.0,19.737624374370984,15.752,103.5,65.205,19.73762438987602,19.75,19.715
36,16.203,19.75,17.0,19.745777180848904,16.203,103.5,65.205,19.74577719984873,19.75,19.72
37,16.657,19.71,17.0,19.753670123696274,16.657,103.5,65.205,19.753670145195024,19.75,19.73
38,17.107,19.75,17.0,19.761271208588024,17.107,103.5,65.205,19.761271231317803,19.740000000000002,19.735
39,17.556,19.75,17.0,19.768576916225708,17.556,103.5,65.205,19.768576938745934,19.740000000000002,19.745
40,18.005,19.79,17.0,19.77561155632862,18.005,103.5,65.205,19.77561157713621,19.75,19.75
41,18.569,19.75,17.0,19.782423818922886,18.569,103.5,65.205,19.782423836566743,19.759999999999998,19.755
42,18.903,19.84,17.0,19.789080980914555,18.903,103.5,65.205,19.789080994108083,19.7825,19.76125
43,19.353,19.79,17.0,19.795661428065436,19.353,103.5,65.205,19.795661435790343,19.792499999999997,19.76625
44,19.802,19.84,17.0,19.802246282380587,19.802,103.5,65.205,19.802246283974476,19.805,19.7775
45,20.252,19.84,17.0,19.808910974367688,20.252,103.5,65.205,19.80891096958778,19.8275,19.79375
46,20.824,19.79,17.0,19.815717568404768,20.824,103.5,65.205,19.81571755746099,19.814999999999998,19.79875
47,21.158,19.71,17.0,19.822708544854382,21.158,103.5,65.205,19.822708528407052,19.795,19.79375
48,21.607,19.84,17.0,19.829902578311845,21.607,103.5,65.205,19.82990255743232,19.794999999999998,19.799999999999997
49,22.055,19.84,17.0,19.83729264594259,22.055,103.5,65.205,19.837292622038625,19.795,19.81125
50,22.574,19.88,17.0,19.844846574427827,22.574,103.5,65.205,19.844846549139213,19.8175,19.816249999999997
51,22.954,19.84,17.0,19.85250991029494,22.954,103.5,65.205,19.85250988536842,19.85,19.8225
