Measurement File created on Wed Jan  5 13:48:04 2022

Time,Temperature,TargetPWM
0.5020,92.74,17.00
0.9060,92.63,17.00
1.3550,92.74,17.00
1.8040,92.68,17.00
2.2530,92.63,17.00
2.7020,92.63,17.00
3.1520,92.52,17.00
3.6020,92.63,17.00
4.0520,92.58,17.00
4.5070,92.58,17.00
4.9560,92.74,17.00
5.4050,92.63,17.00
5.8540,92.74,17.00
6.3030,92.68,17.00
6.7530,92.74,17.00
7.2020,92.68,17.00
7.6520,92.68,17.00
8.1020,92.63,17.00
8.5570,92.68,17.00
9.0060,92.58,17.00
9.4550,92.68,17.00
9.9050,92.63,17.00
10.3540,92.68,17.00
10.8040,92.63,17.00
11.2520,92.68,17.00
11.7020,92.68,17.00
12.1520,92.74,17.00
12.6020,92.68,17.00
13.0570,92.63,17.00
13.5060,92.58,17.00
13.9550,92.68,17.00
14.4040,92.63,17.00
14.8530,92.68,17.00
15.3040,92.58,17.00
15.7520,92.68,17.00
16.2020,92.63,17.00
16.6520,92.74,17.00
17.1070,92.63,17.00
17.5570,92.63,17.00
18.0050,92.58,17.00
18.4550,92.58,17.00
18.9040,92.58,17.00
19.3530,92.68,17.00
19.8020,92.58,17.00
20.2520,92.68,17.00
20.7020,92.63,17.00
21.1520,92.68,17.00
21.6070,92.63,17.00
22.0560,92.58,17.00
22.5050,92.52,17.00
22.9540,92.58,17.00
23.4030,92.52,17.00
23.8520,92.58,17.00
24.3020,92.52,17.00
24.7520,92.63,17.00
25.2020,92.58,17.00
25.6570,92.63,17.00
26.1060,92.68,17.00
26.5550,92.58,17.00
27.0040,92.58,17.00
27.4540,92.52,17.00
27.9040,92.47,17.00
28.3520,92.63,17.00
28.8020,92.52,17.00
29.2520,92.63,17.00
29.7070,92.63,17.00
30.1570,92.52,17.00
30.6060,92.68,17.00
31.0550,92.58,17.00
31.5040,92.63,17.00
31.9530,92.52,17.00
32.4020,92.58,17.00
32.8520,92.52,17.00
33.3020,92.47,17.00
33.7520,92.58,17.00
34.2070,92.58,17.00
34.6560,92.52,17.00
35.1050,92.63,17.00
35.5540,92.52,17.00
36.0030,92.63,17.00
36.4530,92.58,17.00
36.9020,92.58,17.00
37.3520,92.52,17.00
37.8020,92.52,17.00
38.2570,92.52,17.00
38.7060,92.58,17.00
39.1550,92.52,17.00
39.6050,92.58,17.00
40.0540,92.52,17.00
40.5030,92.58,17.00
40.9520,92.58,17.00
41.4020,92.63,17.00
41.8520,92.58,17.00
42.3020,92.63,17.00
42.7570,92.47,17.00
43.2060,92.52,17.00
43.6550,92.47,17.00
44.1130,92.58,17.00
44.5540,92.52,17.00
45.0020,92.58,17.00
45.4520,92.52,17.00
45.9020,92.58,17.00
46.3520,92.52,17.00
46.8070,92.58,17.00
47.2560,92.58,17.00
47.7050,92.58,17.00
48.1540,92.52,17.00
48.6040,92.58,17.00
49.0530,92.47,17.00
49.5020,92.58,17.00
49.9520,92.47,17.00
50.4020,92.58,17.00
50.8570,92.68,17.00
51.3060,92.58,17.00
51.7560,92.68,17.00
52.2050,92.63,17.00
52.6540,92.68,17.00
53.1030,92.63,17.00
53.5520,92.58,17.00
54.0020,92.58,17.00
54.4520,92.52,17.00
54.9020,92.52,17.00
55.3570,92.63,17.00
55.8060,92.58,17.00
56.2550,92.63,17.00
56.7040,92.58,17.00
57.1530,92.68,17.00
57.6030,92.58,17.00
58.0520,92.68,17.00
58.5020,92.63,17.00
58.9520,92.68,17.00
59.4070,92.52,17.00
59.8580,92.58,17.00
60.3050,92.58,17.00
60.7550,92.58,17.00
61.2040,92.58,17.00
61.6530,92.63,17.00
62.1020,92.58,17.00
62.5520,92.68,17.00
63.0020,92.63,17.00
63.4520,92.68,17.00
63.9070,92.58,17.00
64.3560,92.52,17.00
64.8050,92.52,17.00
65.2540,92.63,17.00
65.7030,92.58,17.00
66.1520,92.58,17.00
66.6020,92.58,17.00
67.0520,92.63,17.00
67.5020,92.58,17.00
67.9570,92.63,17.00
68.4060,92.68,17.00
68.8550,92.58,17.00
69.3040,92.58,17.00
69.7540,92.58,17.00
70.2030,92.52,17.00
70.6520,92.58,17.00
71.1020,92.58,17.00
71.5520,92.63,17.00
72.0070,92.68,17.00
72.4560,92.63,17.00
72.9060,92.68,17.00
73.3550,92.63,17.00
73.8040,92.68,17.00
74.2550,92.63,17.00
74.7020,92.58,17.00
75.1520,92.63,17.00
75.6020,92.58,17.00
76.0520,92.63,17.00
76.5070,92.68,17.00
76.9560,92.58,17.00
77.4050,92.74,17.00
77.8540,92.63,17.00
78.3030,92.68,17.00
78.7530,92.63,17.00
79.2020,92.63,17.00
79.6520,92.58,17.00
80.1020,92.58,17.00
80.5600,92.58,17.00
81.0070,92.68,17.00
81.4560,92.63,17.00
81.9050,92.74,17.00
82.3540,92.63,17.00
82.8030,92.74,17.00
83.2530,92.74,17.00
83.7020,92.63,17.00
84.1520,92.68,17.00
84.6020,92.58,17.00
85.0570,92.63,17.00
85.5060,92.68,17.00
85.9550,92.63,17.00
86.4040,92.79,17.00
86.8530,92.68,17.00
87.3020,92.79,17.00
87.7520,92.68,17.00
88.2020,92.68,17.00
88.6520,92.63,17.00
89.1070,92.74,17.00
89.5560,92.63,17.00
90.0050,92.79,17.00
90.4540,92.68,17.00
90.9040,92.74,17.00
91.3530,92.68,17.00
91.8030,92.74,17.00
92.2520,92.68,17.00
92.7020,92.63,17.00
93.1580,92.63,17.00
93.6060,92.74,17.00
94.0560,92.68,17.00
94.5050,92.74,17.00
94.9540,92.68,17.00
95.4030,92.79,17.00
95.8520,92.74,17.00
96.3020,92.74,17.00
96.7520,92.68,17.00
97.2020,92.63,17.00
97.6570,92.68,17.00
98.1060,92.74,17.00
98.5560,92.68,17.00
99.0040,92.79,17.00
99.4530,92.74,17.00
99.9030,92.79,17.00
100.3520,92.68,17.00
100.8020,92.68,17.00
101.2520,92.68,17.00
101.7070,92.74,17.00
102.1560,92.63,17.00
102.6050,92.74,17.00
103.0550,92.74,17.00
103.5040,92.79,17.00
103.9530,92.74,17.00
104.4020,92.68,17.00
104.8520,92.68,17.00
105.3020,92.68,17.00
105.7520,92.74,17.00
106.2070,92.79,17.00
106.6560,92.74,17.00
107.1050,92.79,17.00
107.5540,92.74,17.00
108.0030,92.74,17.00
108.4520,92.68,17.00
108.9030,92.68,17.00
109.3520,92.74,17.00
109.8020,92.68,17.00
110.2570,92.79,17.00
110.7060,92.85,17.00
111.1560,92.79,17.00
111.6040,92.79,17.00
112.0540,92.68,17.00
112.5030,92.68,17.00
112.9520,92.79,17.00
113.4020,92.74,17.00
113.8520,92.79,17.00
114.3070,92.85,17.00
114.7560,92.79,17.00
115.2060,92.85,17.00
115.6550,92.74,17.00
116.1040,92.74,17.00
116.5530,92.74,17.00
117.0020,92.68,17.00
117.4520,92.79,17.00
117.9020,92.74,17.00
118.3520,92.79,17.00
118.8070,92.90,17.00
119.2560,92.79,17.00
119.7050,92.85,17.00
120.1540,92.74,17.00
120.6030,92.74,17.00
121.0530,92.79,17.00
121.5020,92.74,17.00
121.9520,92.85,17.00
122.4020,92.79,17.00
122.8570,92.85,17.00
123.3060,92.90,17.00
123.7550,92.85,17.00
124.2050,92.85,17.00
124.6540,92.79,17.00
125.1030,92.74,17.00
125.5520,92.79,17.00
126.0020,92.74,17.00
126.4520,92.85,17.00
126.9070,92.90,17.00
127.3560,92.79,17.00
127.8060,92.90,17.00
128.2550,92.85,17.00
128.7040,92.85,17.00
129.1530,92.85,17.00
129.6020,92.74,17.00
130.0520,92.79,17.00
130.5020,92.74,17.00
130.9520,92.85,17.00
131.4080,92.85,17.00
131.8560,92.79,17.00
132.3050,92.90,17.00
132.7540,92.79,17.00
133.2040,92.90,17.00
133.6530,92.90,17.00
134.1020,92.90,17.00
134.5520,92.79,17.00
135.0020,92.79,17.00
135.4570,92.74,17.00
135.9060,92.79,17.00
136.3550,92.74,17.00
136.8050,92.79,17.00
137.2540,92.74,17.00
137.7030,92.85,17.00
138.1520,92.79,17.00
138.6020,92.85,17.00
139.0520,92.79,17.00
139.5020,92.90,17.00
139.9570,92.74,17.00
140.4060,92.74,17.00
140.8550,92.74,17.00
141.3040,92.79,17.00
141.7530,92.74,17.00
142.2020,92.79,17.00
142.6520,92.74,17.00
143.1020,92.85,17.00
143.5520,92.79,17.00
144.0070,92.85,17.00
144.4560,92.90,17.00
144.9050,92.85,17.00
145.3540,92.85,17.00
145.8040,92.79,17.00
146.2530,92.79,17.00
146.7020,92.74,17.00
147.1520,92.68,17.00
147.6020,92.79,17.00
148.0570,92.85,17.00
148.5060,92.79,17.00
148.9560,92.90,17.00
149.4050,92.79,17.00
149.8540,92.90,17.00
150.3030,92.85,17.00
150.7520,92.90,17.00
151.2020,92.85,17.00
151.6520,92.79,17.00
152.1020,92.79,17.00
152.5570,92.90,17.00
153.0060,92.79,17.00
153.4550,92.90,17.00
153.9040,92.79,17.00
154.3530,92.90,17.00
154.8030,92.85,17.00
155.2520,92.90,17.00
155.7020,92.85,17.00
156.1520,92.90,17.00
156.6070,92.74,17.00
157.0560,92.85,17.00
157.5050,92.79,17.00
157.9550,92.90,17.00
158.4040,92.79,17.00
158.8530,92.90,17.00
159.3020,92.85,17.00
159.7520,92.96,17.00
160.2020,92.90,17.00
160.6570,92.85,17.00
161.1070,92.79,17.00
161.5560,92.90,17.00
162.0050,92.85,17.00
162.4550,92.90,17.00
162.9030,92.85,17.00
163.3520,92.96,17.00
163.8020,92.85,17.00
164.2520,92.96,17.00
164.7020,92.90,17.00
165.1570,92.85,17.00
165.6060,92.79,17.00
166.0550,92.90,17.00
166.5040,92.85,17.00
166.9540,92.90,17.00
167.4030,92.90,17.00
167.8520,92.96,17.00
168.3020,92.90,17.00
168.7520,93.01,17.00
169.2070,92.85,17.00
169.6560,92.90,17.00
170.1050,92.85,17.00
170.5560,92.90,17.00
171.0040,92.85,17.00
171.4530,92.90,17.00
171.9020,92.85,17.00
172.3520,92.90,17.00
172.8020,92.90,17.00
173.2520,92.96,17.00
173.7070,92.96,17.00
174.1560,92.90,17.00
174.6050,92.85,17.00
175.0540,92.90,17.00
175.5030,92.85,17.00
175.9520,92.90,17.00
176.4020,92.90,17.00
176.8520,92.96,17.00
177.3020,92.90,17.00
177.7570,92.96,17.00
178.2060,93.01,17.00
178.6550,92.96,17.00
179.1040,92.96,17.00
179.5550,92.96,17.00
180.0040,92.85,17.00
180.4520,92.96,17.00
180.9020,92.90,17.00
181.3520,92.96,17.00
181.8080,93.01,17.00
182.2560,92.96,17.00
182.7060,93.07,17.00
183.1550,92.96,17.00
183.6040,93.07,17.00
184.0530,93.01,17.00
184.5020,92.96,17.00
184.9520,92.96,17.00
185.4020,92.90,17.00
185.8520,92.96,17.00
186.3070,93.01,17.00
186.7560,92.96,17.00
187.2050,93.07,17.00
187.6540,93.07,17.00
188.1030,93.12,17.00
188.5530,93.01,17.00
189.0020,93.07,17.00
189.4520,93.01,17.00
189.9020,92.96,17.00
190.3570,92.96,17.00
190.8060,93.07,17.00
191.2550,93.01,17.00
191.7050,93.18,17.00
192.1550,93.01,17.00
192.6030,93.12,17.00
193.0520,93.07,17.00
193.5020,93.12,17.00
193.9520,93.07,17.00
194.4020,93.01,17.00
194.8570,93.01,17.00
195.3060,93.07,17.00
